Name,Symbol,Sector,Industry,Market Cap,Current Price,Volume,Investor Website,Enterprise Value,Trailing EPS,Forward EPS,Dividend Yield,Price to Book,Enterprise to EBITDA,Return on Assets,Return on Equity 
Westamerica Bancorporation,WABC,Financial Services,Banks—Regional,1343790976,50.37,117375,https://www.westamerica.com,1179850112,5.92,4.87,0.0349,1.6973311,N/A,0.02396,0.2199
"WaFd, Inc.",WAFD,Financial Services,Banks—Regional,2445700608,30.04,304640,https://www.wafdbank.com,6516997632,2.61,3.06,0.0346,0.9326876,N/A,0.0070999996,0.07035
"WaFd, Inc. - Depositary Shares",WAFDP,Financial Services,Banks—Regional,N/A,16.62,10446,https://www.wafdbank.com,5424410624,2.738,N/A,0.0733,0.5160209,N/A,0.0070999996,0.07035
Wah Fu Education Group Limited,WAFU,Consumer Defensive,Education & Training Services,8762942,1.9736,98506,https://www.edu-edu.com,-667864,0.06,N/A,N/A,0.782864,-0.514,0.04223,0.06034
Western Alliance Bancorporation,WAL,Financial Services,Banks—Regional,7152810496,64.96,512245,https://www.westernalliancebancorporation.com,11035322368,6.86,9.27,0.0228,1.2056869,N/A,0.010240001,0.12958
Waldencast plc,WALD,Technology,Software—Application,531522144,4.35,170603,https://www.waldencast.com,832804736,-0.99,0.25,N/A,0.85010743,-32.671,-0.04802,-0.13506
Waldencast Acquisition Corp. Warrant,WALDW,Technology,Software—Application,N/A,0.25,1802,https://www.waldencast.com,N/A,N/A,N/A,N/A,N/A,N/A,-0.04802,-0.13506
"Washington Trust Bancorp, Inc.",WASH,Financial Services,Banks—Regional,473600704,27.77,53032,https://www.washtrust.com,1664228736,2.71,2.44,0.080699995,1.01306,N/A,0.00656,0.09937
Waters Corporation,WAT,Healthcare,Diagnostics & Research,21114847232,355.95,373935,https://www.waters.com,22920710144,10.18,13.04,N/A,16.80119,22.704,0.13215,0.65021
Energous Corporation,WATT,Technology,Scientific & Technical Instruments,9489199,1.56,29259,https://energous.com,-108205,-4.15,-2.91,N/A,1.3265306,0.005,-0.60556,-1.3531599
"WaveDancer, Inc.",WAVD,Technology,Information Technology Services,5636904,2.8,39136,https://wavedancer.com,5652358,-0.67,N/A,N/A,3.5714285,-3.328,-0.2164,-0.66592
Eco Wave Power Global AB (publ),WAVE,Utilities,Utilities—Renewable,16759067,3.02,17697,https://www.ecowavepower.com,132619232,-0.32,N/A,N/A,2.107467,-57.761,-0.13648,-0.21114999
Western Acquisition Ventures Co,WAVS,Financial Services,Shell Companies,38354584,10.8799,2744,https://www.westernacquisitionventures.com,N/A,-0.25,N/A,N/A,N/A,N/A,-0.01129,N/A
Weibo Corporation,WB,Communication Services,Internet Content & Information,2446124544,9.66,3614998,https://weibo.com,1949168768,1.43,1.99,N/A,0.6895567,3.668,0.04103,0.1035
"Walgreens Boots Alliance, Inc.",WBA,Healthcare,Pharmaceutical Retailers,15684122624,18.18,7453745,https://www.walgreensbootsalliance.com,51515129856,-7.0,3.13,0.055,1.1631478,13.882,0.01117,-0.57192004
"Warner Bros. Discovery, Inc. - ",WBD,Communication Services,Entertainment,19724994560,8.05,21008489,https://ir.wbd.com,60384022528,-1.24,-0.07,N/A,0.44652763,8.059,-0.00161,-0.06386
Webster Financial Corporation,WBS,Financial Services,Banks—Regional,8001583616,46.66,838818,https://public.websteronline.com,12216707072,4.9,6.27,0.0343,0.95080894,N/A,0.01143,0.1013
WEBUY GLOBAL LTD.,WBUY,Consumer Cyclical,Internet Retail,39493944,0.655,1286128,https://www.webuysg.com,33275952,-0.11,N/A,N/A,6.0091743,-7.543,-0.16851999,-3.5850601
Wallbox N.V.,WBX,Technology,Electronic Components,313904256,1.49,247370,https://wallbox.com,453374272,-0.65,-0.69,N/A,2.0985916,-4.641,-0.14762,-0.70273
"WESCO International, Inc.",WCC,Industrials,Industrial Distribution,9405647872,185.05,947123,https://www.wesco.com,14255042560,12.01,16.8,0.0083,1.8874372,9.323,0.05673,0.14319
"Waste Connections, Inc.",WCN,Industrials,Waste Management,43241406464,167.59,592065,https://www.wasteconnections.com,51227049984,3.07,5.43,0.0068,5.5519114,21.141,0.048210002,0.105670005
"Walker & Dunlop, Inc",WD,Financial Services,Mortgage Finance,3452733440,102.4,99304,https://www.walkerdunlop.com,4536992256,2.74,4.95,0.0254,1.9756516,N/A,0.0208,0.05014
"Workday, Inc.",WDAY,Technology,Software—Application,68426506240,257.93,2005467,https://www.workday.com,63576518656,5.21,7.86,N/A,8.420829,136.724,0.00764,0.20209
Western Digital Corporation,WDC,Technology,Computer Hardware,23542452224,72.1,5037173,https://www.westerndigital.com,N/A,-5.07,7.94,N/A,2.3223603,N/A,-0.02582,-0.13354
WD-40 Company,WDFC,Basic Materials,Specialty Chemicals,3234598912,238.67,42519,https://www.wd40company.com,3302221824,5.01,5.86,0.0147,14.958009,32.064,0.1317,0.33122003
Waterdrop Inc.,WDH,Financial Services,Insurance—Diversified,480944544,1.26,462510,https://www.waterdrop-inc.com,1545735808,0.06,0.12,N/A,0.10171134,226.914,-0.0007,0.03466
N/A,WDI,N/A,N/A,765947456,14.79,439936,N/A,N/A,1.12,N/A,0.1345,N/A,N/A,N/A,N/A
Woodside Energy Group Limited,WDS,Energy,Oil & Gas E&P,35088900096,18.48,532586,https://www.woodside.com,40408895488,0.87,N/A,0.0758,1.0200363,4.644,0.03514,0.04764
Western Asset Bond Fund Share o,WEA,Financial Services,Asset Management,128207808,10.805,17785,https://institutional.myleggmason.com/portal/server.pt?open=512&objID=1377&cached=true&mode=2&userID=225408&mktcd=WEA,176957344,1.04,N/A,0.0763,0.9421048,N/A,0.03924,0.09214
"Weave Communications, Inc.",WEAV,Healthcare,Health Information Services,637973312,8.97,345784,https://www.getweave.com,614449344,-0.44,0.1,N/A,8.666667,-26.237,-0.10727999,-0.39645
"WEC Energy Group, Inc.",WEC,Utilities,Utilities—Regulated Electric,27002867712,85.5,1377164,https://www.wecenergygroup.com,45867831296,4.58,5.23,0.039100002,2.229291,12.7,0.03343,0.11842
Integrated Wellness Acquisition,WEL,Financial Services,Shell Companies,81853776,11.48,4,https://www.integratedwellnessholdings.com,83869408,-0.74,N/A,N/A,N/A,N/A,-0.018029999,N/A
Welltower Inc.,WELL,Real Estate,REIT—Healthcare Facilities,60562915328,101.29,1913216,https://www.welltower.com,134343065600,0.86,1.7,0.0241,2.172766,49.414,0.01874,0.01839
Wendy's Company (The),WEN,Consumer Cyclical,Restaurants,3772395520,18.39,2157945,https://www.wendys.com,7394311680,0.98,1.1,0.0544,12.86014,14.341,0.04456,0.57939
"Werner Enterprises, Inc.",WERN,Industrials,Trucking,2368467968,37.35,905638,https://www.werner.com,2980224256,1.31,2.29,0.015,1.5602807,7.319,0.02174,0.05414
"Western Midstream Partners, LP",WES,Energy,Oil & Gas Midstream,14473878528,38.04,800408,https://www.westernmidstream.com,N/A,3.55,3.58,0.092,4.487437,N/A,0.07437,0.44022998
Westrock Coffee Company,WEST,Consumer Defensive,Packaged Foods,948139648,10.59,116262,https://westrockcoffee.com,1673748224,-0.64,0.35,N/A,10.1924925,99.907,-0.00819,-0.16494
N/A,WESTW,Consumer Defensive,Packaged Foods,N/A,2.49,3,https://westrockcoffee.com,N/A,N/A,N/A,N/A,N/A,N/A,-0.00819,-0.16494
Wetouch Technology Inc.,WETH,Real Estate,Real Estate Services,26845876,2.25,402732,https://www.wetouchinc.com,-69485888,N/A,N/A,N/A,0.19393207,-5.489,0.082040004,0.09094
WEX Inc.,WEX,Technology,Software—Infrastructure,8305098240,198.21,362610,https://www.wexinc.com,8415105024,6.14,18.71,N/A,4.6717896,9.661,0.030480001,0.15336001
"Weyco Group, Inc.",WEYS,Consumer Cyclical,Footwear & Accessories,286896672,30.2,8415,https://www.weycogroup.com,218588288,3.08,1.45,0.0344,1.1490755,5.279,0.07901,0.12356
Woori Financial Group Inc.,WF,Financial Services,Banks—Regional,8108525056,32.76,21667,https://www.woorifg.com,45258297573376,6.8,8.83,0.0682,0.0008621902,N/A,0.00513,0.075729996
Wells Fargo & Company,WFC,Financial Services,Banks—Diversified,212944437248,61.08,15795215,https://www.wellsfargo.com,67728142336,4.8,5.53,0.0229,1.3175435,N/A,0.00976,0.10261
"Where Food Comes From, Inc.",WFCF,Technology,Software—Application,64509240,12.0,889,https://wherefoodcomesfrom.com,65421204,0.4,0.49,N/A,6.7605634,19.129,0.107159995,0.21079001
West Fraser Timber Co. Ltd,WFG,Basic Materials,Lumber & Wood Production,6623891968,81.23,143360,https://www.westfraser.com,6434762752,-1.09,7.45,0.0148,0.91652757,9.547,0.00863,-0.012159999
Weatherford International plc,WFRD,Energy,Oil & Gas Equipment & Services,9056477184,123.8,541295,https://www.weatherford.com,10142482432,6.19,8.8,N/A,8.306495,8.452,0.11073,0.58244
"Winnebago Industries, Inc.",WGO,Consumer Cyclical,Recreational Vehicles,1806457984,61.72,498364,https://www.winnebagoind.com,2282960128,3.42,7.14,0.0201,1.3652451,8.471,0.05523,0.08716
GeneDx Holdings Corp.,WGS,Healthcare,Health Information Services,585518656,22.39,345669,https://www.genedx.com,590766656,-4.97,-0.21,N/A,2.8223875,-5.806,-0.16691999,-0.50409
N/A,WGSWW,Healthcare,Health Information Services,N/A,0.03,10473,https://www.genedx.com,N/A,N/A,N/A,N/A,N/A,N/A,-0.16691999,-0.50409
"Wyndham Hotels & Resorts, Inc.",WH,Consumer Cyclical,Lodging,5720146944,70.99,667057,https://www.wyndhamhotels.com,7911150592,2.83,4.7,0.020599999,8.531426,13.57,0.07763,0.29565
"Cactus, Inc. Class A Common Sto",WHD,Energy,Oil & Gas Equipment & Services,3414094080,51.96,270138,https://www.cactuswhd.com,3468146944,2.53,3.39,0.0092,3.810781,9.018,0.12821999,0.20959999
"WhiteHorse Finance, Inc.",WHF,Financial Services,Asset Management,304019744,13.08,29607,https://www.whitehorsefinance.com,683628608,0.82,1.65,0.1177,0.9688889,N/A,0.06064,0.05864
"WhiteHorse Finance, Inc. - 7.87",WHFCL,N/A,N/A,N/A,N/A,179,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Westwood Holdings Group Inc,WHG,Financial Services,Asset Management,115018272,12.35,3669,https://www.westwoodgroup.com,60613472,1.35,N/A,0.048600003,0.83097833,7.409,0.01437,0.10205
"Wilhelmina International, Inc.",WHLM,Industrials,Specialty Business Services,25477260,4.94,9918,https://www.wilhelmina.com,16216545,0.08,-0.67,N/A,1.02341,17.325,0.010880001,0.01763
Wheeler Real Estate Investment ,WHLR,Real Estate,REIT—Retail,7624321,2.69,127667,https://www.whlr.us,685872320,17.76,-2.11,N/A,N/A,13.35,0.02605,0.0034400001
Wheeler Real Estate Investment ,WHLRD,Real Estate,REIT—Retail,16799994,18.0,1237,https://www.whlr.us,729265856,-1.868,-1.76,N/A,N/A,14.195,0.02605,0.0034400001
Wheeler Real Estate Investment ,WHLRP,Real Estate,REIT—Retail,1695825,1.68,2587,https://www.whlr.us,683009664,-1.868,N/A,N/A,N/A,13.295,0.02605,0.0034400001
Whirlpool Corporation,WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4992610304,91.38,1396294,https://www.whirlpoolcorp.com,12450607104,7.27,13.97,0.0766,2.1350467,9.081,0.03812,0.16969
Western Asset Inflation-Linked ,WIA,Financial Services,Asset Management,189027232,8.105,6362,https://guggenheiminvestments.com/products/cef/wia,328582528,-0.02,N/A,0.074,0.87925786,N/A,0.02368,-0.0025799999
"G. Willi-Food International,  L",WILC,Consumer Defensive,Food Distribution,130211136,9.39,5243,https://www.willi-food.com,-107211712,0.62,N/A,0.104399994,1.0302831,-4.306,0.0211,0.056950003
WiMi Hologram Cloud Inc.,WIMI,Communication Services,Advertising Agencies,94289504,0.9601,512855,https://www.wimiar.com,-525677440,-0.67,0.17,N/A,0.125225,2.367,-0.12185001,-0.53416
Winmark Corporation,WINA,Consumer Cyclical,Specialty Retail,1300694144,371.9,16969,https://winmarkcorporation.com,1349926144,10.97,N/A,0.0097,N/A,25.051,0.85019,N/A
Wingstop Inc.,WING,Consumer Cyclical,Restaurants,11345043456,386.28,256014,https://www.wingstop.com,11967353856,2.82,4.15,0.0023,N/A,82.125,0.19116,N/A
"Windtree Therapeutics, Inc.",WINT,Healthcare,Biotechnology,2290699,4.49,8289,https://windtreetx.com,1594671,-94.32,-0.66,N/A,0.14854269,-0.091,-0.33576,-0.53104997
WinVest Acquisition Corp.,WINV,Financial Services,Shell Companies,45083308,11.22,200,N/A,46546896,-0.4,N/A,N/A,N/A,N/A,-0.067540005,N/A
WinVest Acquisition Corp.,WINVR,N/A,N/A,N/A,0.104,520,N/A,N/A,N/A,N/A,N/A,10.400001,N/A,-0.067540005,N/A
WinVest Acquisition Corp. Warrant,WINVW,Financial Services,Shell Companies,N/A,0.0201,28116,N/A,N/A,N/A,N/A,N/A,2.01,N/A,-0.067540005,N/A
Encore Wire Corporation,WIRE,Industrials,Electrical Equipment & Parts,4429891584,280.57,253635,https://www.encorewire.com,3815808256,19.05,20.42,0.00029999999,2.4422238,9.244,0.1176,0.17436
"WiSA Technologies, Inc.",WISA,Technology,Semiconductors,10450126,3.26,802542,https://www.wisatechnologies.com,5925807,-477.0,-6.48,N/A,N/A,-0.277,-1.648,N/A
Wipro Limited,WIT,Technology,Information Technology Services,28844367872,5.39,1216415,https://www.wipro.com,-213651537920,0.26,0.29,0.0022,0.03753717,-1.319,0.07289,0.14497
Western Asset Inflation-Linked ,WIW,Financial Services,Asset Management,526795072,8.61,128124,https://guggenheiminvestments.com/products/cef/wiw,898950400,0.02,N/A,0.084300004,0.868031,N/A,0.02636,0.00164
Wix.com Ltd.,WIX,Technology,Software—Infrastructure,7550021632,135.68,1022279,https://www.wix.com,7627817472,0.57,6.45,N/A,N/A,234.883,0.00212,N/A
Workiva Inc.,WK,Technology,Software—Application,4650796544,84.83,169314,https://www.workiva.com,4604291072,-1.71,1.38,N/A,N/A,-158.73,-0.02489,N/A
World Kinect Corporation,WKC,Energy,Oil & Gas Refining & Marketing,1528426624,25.5,290374,https://worldkinect.com,2083926656,0.95,2.68,0.026700001,0.7824966,6.605,0.0202,0.02935
WISeKey International Holding L,WKEY,Technology,Semiconductors,19070812,1.93,15302,https://www.wisekey.com,101934104,16.25,N/A,N/A,4.241758,-8.042,-0.17087,-0.68496
"Workhorse Group, Inc.",WKHS,Consumer Cyclical,Auto Manufacturers,75505440,0.24,24518522,https://www.workhorse.com,78734536,-0.6,-0.26,N/A,0.8247422,-0.785,-0.40225,-1.29285
WalkMe Ltd.,WKME,Technology,Software—Application,771345600,8.39,31823,https://www.walkme.com,529060704,-0.67,0.25,N/A,2.9304926,-8.923,-0.09019,-0.21302
"Worksport, Ltd.",WKSP,Consumer Cyclical,Auto Parts,15356775,0.6372,466346,https://www.worksport.com,16362187,-0.84,-0.33,N/A,0.7119553,-1.2,-0.31377,-0.70591
"Worksport, Ltd. Warrant",WKSPW,Consumer Cyclical,Auto Parts,N/A,0.05,42036,https://www.worksport.com,N/A,-0.542,N/A,N/A,0.04448399,N/A,-0.31377,-0.70591
"Willdan Group, Inc.",WLDN,Industrials,Engineering & Construction,439383776,31.8,70025,https://www.willdan.com,505091968,0.94,2.0,N/A,2.1379588,12.871,0.03654,0.06621
Wearable Devices Ltd.,WLDS,Technology,Consumer Electronics,6727842,0.33,454487,https://wearabledevices.co.il,2447851,-0.48,N/A,N/A,1.2177123,-0.302,-0.54382,-1.0078701
WEARABLE DEVICES LTD C/WTS 29/0,WLDSW,Technology,Consumer Electronics,N/A,0.042,180,https://wearabledevices.co.il,N/A,N/A,N/A,N/A,N/A,N/A,-0.54382,-1.0078701
Willis Lease Finance Corporatio,WLFC,Industrials,Rental & Leasing Services,432865504,65.86,17043,https://www.wlfc.global,2195589632,8.68,1.25,N/A,0.9782108,8.664,0.03862,0.12454
"Wang & Lee Group, Inc.",WLGS,Industrials,Engineering & Construction,9961908,0.66,349879,https://www.wangnlee.com.hk,6701524,-0.04,N/A,N/A,1.6666667,-14.968,-0.03754,-0.1538
Westlake Corporation,WLK,Basic Materials,Specialty Chemicals,20292202496,157.83,289906,https://www.westlake.com,23218198528,1.99,9.01,0.0127,1.9641836,12.311,0.02753,0.02767
Westlake Chemical Partners LP,WLKP,Basic Materials,Chemicals,785234368,22.29,14513,https://www.wlkpartners.com,1456662144,1.54,2.25,0.0846,1.5079151,3.124,0.16806999,0.38296002
"John Wiley & Sons, Inc.",WLY,Communication Services,Publishing,2116729856,38.69,156797,https://www.wiley.com,3045850368,-2.87,3.1,0.036199998,2.8300784,9.999,0.04879,-0.17715
"John Wiley & Sons, Inc.",WLYB,Communication Services,Publishing,2116730624,38.585,167,https://www.wiley.com,3040103168,-2.87,N/A,0.0363,2.8223977,9.98,0.04879,-0.17715
"Waste Management, Inc.",WM,Industrials,Waste Management,84403912704,210.44,1739272,https://www.wm.com,100175929344,6.1,8.03,0.0143,11.924297,16.444,0.07841,0.35301998
"Williams Companies, Inc. (The)",WMB,Energy,Oil & Gas Midstream,50297810944,41.27,5827453,https://www.williams.com,79033974784,2.44,2.04,0.046,4.0524354,13.214,0.04755,0.21229
Warner Music Group Corp.,WMG,Communication Services,Entertainment,16593964032,32.04,1153503,https://www.wmg.com,20424947712,1.01,1.53,0.0212,38.32536,15.639,0.07295,1.33255
"Weis Markets, Inc.",WMK,Consumer Defensive,Grocery Stores,1843347328,68.53,56668,https://www.weismarkets.com,1620422272,3.76,N/A,0.0198,1.3281523,6.72,0.04146,0.07472
William Penn Bancorporation,WMPN,Financial Services,Banks—Regional,113793336,12.06,7540,https://www.williampenn.bank,169702080,0.08,0.16,0.01,0.9069715,N/A,0.00101,0.0057200002
"Advanced Drainage Systems, Inc.",WMS,Industrials,Building Products & Equipment,13482243072,174.13,681490,https://www.adspipe.com,14525313024,6.44,7.56,0.0037,10.699889,16.847,0.14663,0.50978
Walmart Inc.,WMT,Consumer Defensive,Discount Stores,521065431040,64.65,28734037,https://corporate.walmart.com,582681427968,2.33,2.61,0.0128,6.4041605,14.659,0.06916,0.23464
Wabash National Corporation,WNC,Industrials,Farm & Heavy Construction Machinery,1014832832,22.47,586415,https://onewabash.com,1324594816,4.16,2.88,0.014199999,1.8573318,4.101,0.12772,0.40922
"Western New England Bancorp, In",WNEB,Financial Services,Banks—Regional,148149744,6.85,53685,https://www.westfieldbank.com,274314624,0.6,0.63,0.040900003,0.61534315,N/A,0.00497,0.05426
WNS (Holdings) Limited,WNS,Technology,Information Technology Services,2361411072,51.69,351669,https://www.wns.com,2486800384,2.83,4.97,N/A,3.0839448,10.533,0.07954,0.17889
Meiwu Technology Company Limite,WNW,Consumer Cyclical,Internet Retail,3020104,1.05,837943,https://www.wnw108.com,-12344808,-5.37,N/A,N/A,0.12078684,-6.837,0.02735,-0.24182
"Wolfspeed, Inc.",WOLF,Technology,Semiconductors,3213078272,25.53,1966776,https://www.wolfspeed.com,6452273664,-4.47,-2.46,N/A,3.1413808,-40.529,-0.033269998,-0.40983
Petco Health and Wellness Compa,WOOF,Consumer Cyclical,Specialty Retail,674909504,2.49,3463076,https://corporate.petco.com,3645476864,-4.78,0.08,N/A,0.5653951,14.838,0.0046900003,-0.71803004
"Worthington Enterprises, Inc.",WOR,Industrials,Metal Fabrication,2927045376,58.37,151414,https://www.worthingtonenterprises.com,3021698816,4.99,3.53,0.011,3.2090826,9.793,0.05093,0.19798
SCWorx Corp.,WORX,Healthcare,Health Information Services,2579515,2.13,10408,https://www.scworx.com,2985045,-1.65,N/A,N/A,0.41279075,N/A,-0.083009996,-0.25774
"WideOpenWest, Inc.",WOW,Communication Services,Telecom Services,408458112,4.83,311937,https://www.wowway.com,1375896576,-3.25,-0.53,N/A,1.615925,5.875,0.012990001,-0.69759005
W. P. Carey Inc. REIT,WPC,Real Estate,REIT—Diversified,13153570816,60.11,737741,https://www.wpcarey.com,20255010816,2.61,2.54,0.057600003,1.5165889,14.436,0.028800001,0.06366
Wheaton Precious Metals Corp,WPM,Basic Materials,Gold,25843544064,57.01,1704657,https://www.wheatonpm.com,25543380992,1.3,1.44,0.0109,3.650509,31.656,0.05079,0.084989995
WPP plc,WPP,Communication Services,Advertising Agencies,11700816896,53.51,186983,https://www.wpp.com,62629965824,0.64,5.58,0.0466,17.035975,79.439,0.01174,0.04934
Westport Fuel Systems Inc,WPRT,Consumer Cyclical,Auto Parts,108746536,6.31,10155,https://wfsinc.com,139694608,-3.07,-1.29,N/A,0.74069726,-5.181,-0.067210004,-0.30783
"Wrap Technologies, Inc.",WRAP,Technology,Scientific & Technical Instruments,72953432,1.65,267482,https://www.wrap.com,60276380,-0.38,-0.24,N/A,3.8551402,-4.047,-0.30685,-0.60777
W.R. Berkley Corporation,WRB,Financial Services,Insurance—Property & Casualty,20276551680,79.31,720684,https://www.berkley.com,21045463040,5.63,6.46,0.0055,2.613696,N/A,0.03619,0.20728001
Warby Parker Inc.,WRBY,Healthcare,Medical Instruments & Supplies,1964788992,16.53,1212577,https://www.warbyparker.com,1925860224,-0.47,0.29,N/A,6.207285,-89.733,-0.06676,-0.17979
Westrock Company,WRK,Consumer Cyclical,Packaging & Containers,13672972288,52.94,1000266,https://www.westrock.com,22871357440,1.21,3.53,0.0229,1.3574011,8.922,0.02398,0.03113
World Acceptance Corporation,WRLD,Financial Services,Credit Services,733096000,130.91,37619,https://www.loansbyworld.com,1299207040,13.2,21.12,N/A,1.72725,8.199,0.0849,0.19106
Western Copper and Gold Corpora,WRN,Basic Materials,Other Industrial Metals & Mining,304125504,1.55,387826,https://www.westerncopperandgold.com,214709008,-0.01,-0.02,N/A,1.8452381,-55.659,-0.01967,-0.026789999
Warrantee Inc.,WRNT,Technology,Software—Application,7086385,0.3163,749517,https://warrantee.com,145675264,0.01,N/A,N/A,1.5736319,2.088,0.1463,N/A
"Worthington Steel, Inc.",WS,Basic Materials,Steel,1687837184,33.5,133763,https://www.worthingtonsteel.com,1982038656,N/A,3.2,0.0191,N/A,6.362,N/A,N/A
"WesBanco, Inc.",WSBC,Financial Services,Banks—Regional,1729809408,29.11,130350,https://www.wesbanco.com,2816741376,2.4,2.54,0.0495,0.72226083,N/A,0.0087,0.06079
"WesBanco, Inc. - Depositary Sha",WSBCP,Financial Services,Banks—Regional,N/A,24.72,9055,https://www.wesbanco.com,2555873536,3.16,N/A,0.0683,0.6133386,N/A,0.0087,0.06079
"Waterstone Financial, Inc.",WSBF,Financial Services,Banks—Regional,257528896,13.11,32815,https://www.wsbonline.com,837807424,0.52,1.01,0.0458,0.73776025,N/A,0.00472,0.02915
WillScot Mobile Mini Holdings C,WSC,Industrials,Rental & Leasing Services,7726629888,40.65,2002509,https://www.willscotmobilemini.com,11445111808,1.62,2.53,N/A,5.869189,16.301,0.06663,0.22317
WSFS Financial Corporation,WSFS,Financial Services,Banks—Regional,2786544896,46.37,144779,https://www.wsfsbank.com,3081397760,4.48,4.33,0.0128999995,1.1263876,N/A,0.013309999,0.11411
"Williams-Sonoma, Inc.",WSM,Consumer Cyclical,Specialty Retail,19886024704,309.5,855096,https://www.williams-sonomainc.com,19971360768,14.55,16.12,0.0146,9.330721,13.392,0.15833999,0.4961
"Watsco, Inc.",WSO,Industrials,Industrial Distribution,19067785216,477.62,186203,https://www.watsco.com,18272493568,12.99,15.95,0.0226,7.1013107,23.794,0.11203,0.23226
Whitestone REIT,WSR,Real Estate,REIT—Retail,628055232,12.41,218138,https://www.whitestonereit.com,1257591168,0.48,0.39,0.0399,1.4703792,16.126,0.02481,0.05915
"West Pharmaceutical Services, I",WST,Healthcare,Medical Instruments & Supplies,26034769920,355.64,425533,https://www.westpharma.com,25610739712,7.58,9.08,0.0022,9.684921,31.634,0.114029996,0.20844
"WisdomTree, Inc.",WT,Financial Services,Asset Management,1434670592,9.45,425785,https://www.wisdomtree.com,1620975488,0.67,0.6,0.0127,3.280111,16.356,0.0634,0.21535999
West Bancorporation,WTBA,Financial Services,Banks—Regional,300466208,17.87,19667,https://www.westbankstrong.com,777232320,1.32,1.5,0.055999998,1.3428015,N/A,0.00583,0.10029
Wintrust Financial Corporation,WTFC,Financial Services,Banks—Regional,6295779328,101.95,146675,https://www.wintrust.com,8203917312,9.68,10.27,0.0177,1.2528263,N/A,0.0114,0.1205
Wintrust Financial Corporation ,WTFCM,Financial Services,Banks—Regional,3459651328,24.4,7219,https://www.wintrust.com,3414929664,7.114,N/A,0.0672,0.29984272,N/A,0.0114,0.1205
Wintrust Financial Corporation ,WTFCP,Financial Services,Banks—Regional,N/A,25.01,6435,https://www.wintrust.com,3452599296,7.114,N/A,0.0687,0.30733877,N/A,0.0114,0.1205
"W&T Offshore, Inc.",WTI,Energy,Oil & Gas E&P,345113920,2.35,1307260,https://www.wtoffshore.com,642993600,-0.15,-0.15,0.017,16.666666,3.73,0.00947,-0.78711
White Mountains Insurance Group,WTM,Financial Services,Insurance—Property & Casualty,4527410176,1764.57,6713,https://www.whitemountains.com,4218893824,221.1,60.0,0.00059999997,0.99912626,N/A,0.050780002,0.13703
Welsbach Technology Metals Acqu,WTMA,Financial Services,Shell Companies,48178776,10.8101,225,https://www.wtmau.com,51863808,-0.01,N/A,N/A,N/A,N/A,-0.02668,N/A
UTime Limited,WTO,Technology,Consumer Electronics,164687872,0.42,282424,https://www.utimemobile.com,-6090527,-0.97,N/A,N/A,0.1678657,0.075,-0.17382999,-2.14878
"Essential Utilities, Inc.",WTRG,Utilities,Utilities—Regulated Water,10850696192,39.67,916881,https://www.essential.co,17869707264,2.11,2.12,0.031,1.7842846,17.014,0.02664,0.09874
"Watts Water Technologies, Inc.",WTS,Industrials,Specialty Industrial Machinery,7170696192,214.88,68151,https://www.watts.com,7213288448,8.06,9.07,0.008,4.6217713,17.319,0.10697,0.18636
"Select Water Solutions, Inc.",WTTR,Basic Materials,Specialty Chemicals,1190349184,10.01,758519,https://www.selectwater.com,1264654592,0.64,1.16,0.024,1.3352008,6.04,0.0309,0.07833
Willis Towers Watson Public Lim,WTW,Financial Services,Insurance Brokers,26315546624,257.4,293004,https://www.wtwco.com,31151536128,9.91,18.4,0.0137,2.7726612,12.556,0.04019,0.10656
Western Union Company (The),WU,Financial Services,Credit Services,4472422400,13.14,1633551,https://www.westernunion.com,5879523840,1.69,1.84,0.0715,11.211604,5.737,0.064569995,1.29778
TeraWulf Inc.,WULF,Financial Services,Capital Markets,649704960,1.95,12040535,https://www.terawulf.com,714478976,-0.22,0.27,N/A,2.246544,42.788,-0.03073,-0.27079
Wave Life Sciences Ltd.,WVE,Healthcare,Biotechnology,766599616,6.26,1089074,https://www.wavelifesciences.com,624086592,-0.51,-0.94,N/A,30.096155,-9.238,-0.17951,-19.20162
"Willamette Valley Vineyards, In",WVVI,Consumer Defensive,Beverages—Wineries & Distilleries,20900672,4.21,1210,https://www.wvv.com,91086096,-0.62,N/A,N/A,0.76951194,36.512,-0.00511,-0.01381
"Willamette Valley Vineyards, In",WVVIP,Consumer Defensive,Beverages—Wineries & Distilleries,30178988,3.9537,1617,https://www.wvv.com,89813688,0.135,N/A,0.0556,0.72266495,36.002,-0.00511,-0.01381
"WW International, Inc.",WW,Consumer Cyclical,Personal Services,143487216,1.81,1805033,https://corporate.ww.com,1565299200,-4.17,0.32,N/A,N/A,11.515,0.0653,N/A
"Woodward, Inc.",WWD,Industrials,Aerospace & Defense,10935104512,179.5,297676,https://www.woodward.com,11437955072,5.73,6.33,0.0056,4.6791096,20.233,0.06666,0.16347
"Westwater Resources, Inc.",WWR,Basic Materials,Other Industrial Metals & Mining,27371864,0.4793,153222,https://westwaterresources.net,21081450,-0.15,-0.49,N/A,0.19436333,-1.619,-0.05393,-0.059169997
